number_of_trucks,number_of_loaders,unload_points,external_scale_load,road_delay_percent,total_trips,total_tons,average_cycle_time,avg_travel_time,avg_road_delay_time,avg_wait_tare,avg_wait_loader,avg_wait_gross,avg_wait_unload,max_wait_tare,max_wait_loader,max_wait_gross,max_wait_unload,loader_utilization,scale_internal_utilization,scale_utilization,unload_utilization,bottleneck
7,1,1,0,5,92,2532.1,86.5,22.23,0.52,3.92,3.01,0.85,28.07,60.0,60.0,10.0,87.6,60.35,40.21,40.21,87.12,unload
8,1,1,0,5,92,2533.5,101.2,22.36,0.6,4.02,2.91,1.42,42.18,60.0,60.0,59.1,100.1,60.6,40.62,40.62,86.86,unload
9,1,1,0,5,91,2499.5,116.8,22.15,0.59,3.28,4.14,0.96,57.72,52.4,60.0,14.5,115.3,61.62,40.83,40.83,86.41,unload
10,1,1,0,5,91,2505.8,131.1,21.98,0.5,4.92,3.98,1.72,69.97,60.0,60.0,62.0,126.5,62.17,41.46,41.46,86.01,unload
11,1,1,0,5,91,2501.3,146.7,21.76,0.55,4.63,5.0,1.69,85.06,62.2,61.1,59.5,144.1,62.25,41.46,41.46,86.6,unload
12,1,1,0,5,90,2471.0,161.6,22.17,0.53,4.75,5.89,1.33,98.93,62.1,66.0,23.3,154.7,62.65,41.88,41.88,85.54,unload
13,1,1,0,5,91,2501.0,175.1,22.04,0.55,5.11,7.8,1.49,110.22,52.8,73.6,26.1,171.7,63.72,42.29,42.29,86.08,unload
14,1,1,0,5,90,2473.1,190.8,21.73,0.53,5.61,7.94,2.96,123.95,61.6,78.7,63.0,183.8,64.09,42.29,42.29,85.76,unload
15,1,1,0,5,90,2477.6,204.3,22.32,0.56,6.83,8.86,3.08,134.61,62.8,85.0,60.0,196.5,64.81,42.71,42.71,85.27,unload
16,1,1,0,5,90,2472.9,218.6,22.14,0.56,7.01,12.31,1.89,146.81,56.4,94.4,36.5,207.5,64.32,43.12,43.12,85.37,unload
17,1,1,0,5,90,2475.5,232.0,21.95,0.54,6.51,15.09,3.42,156.44,53.8,100.7,62.4,225.5,66.48,43.54,43.54,85.1,unload
18,1,1,0,5,89,2447.1,248.3,22.19,0.56,7.74,15.07,3.11,171.72,53.8,98.4,59.1,239.5,64.9,43.54,43.54,84.68,unload
19,1,1,0,5,88,2421.4,263.2,22.21,0.53,9.03,19.17,2.71,181.39,61.1,108.7,45.4,254.0,66.69,43.96,43.96,84.26,unload
20,1,1,0,5,88,2422.6,276.3,22.14,0.52,8.46,22.39,2.95,191.79,57.0,113.6,47.7,271.7,66.29,44.38,44.38,83.67,unload
4,1,1,0,15,69,1893.5,62.0,22.97,1.5,3.19,1.77,1.03,4.45,62.1,60.0,60.0,67.5,44.9,29.79,29.79,65.08,unload
5,1,1,0,15,84,2308.4,64.0,22.8,1.63,2.33,2.43,0.4,7.71,52.7,60.0,3.6,69.7,53.45,36.25,36.25,79.44,unload
6,1,1,0,15,92,2529.3,71.4,22.95,1.53,3.09,2.63,0.76,13.61,56.2,60.0,6.8,72.9,59.76,40.21,40.21,86.85,unload
7,1,1,0,15,92,2535.8,86.6,23.08,1.5,3.92,2.95,0.82,27.26,56.3,60.0,8.2,86.9,61.36,40.21,40.21,86.94,unload
8,1,1,0,15,93,2559.3,99.6,22.92,1.43,4.25,2.23,1.57,40.33,62.6,42.3,60.0,100.4,62.1,41.46,41.46,86.69,unload
9,1,1,0,15,92,2528.1,115.8,23.32,1.71,4.19,4.15,0.95,54.8,52.4,60.0,15.7,111.4,61.94,41.04,41.04,86.31,unload
10,1,1,0,15,92,2531.4,130.3,23.18,1.68,3.49,4.5,2.36,68.39,51.7,60.0,63.0,126.5,62.29,41.46,41.46,86.43,unload
11,1,1,0,15,91,2501.0,145.9,23.12,1.63,4.34,5.27,1.7,83.09,54.8,60.0,61.1,143.3,62.04,41.67,41.67,85.9,unload
12,1,1,0,15,90,2474.7,162.2,23.01,1.62,5.34,6.0,1.82,97.5,60.5,67.1,59.9,158.6,62.01,41.46,41.46,86.37,unload
13,1,1,0,15,91,2501.4,173.2,22.81,1.62,5.73,7.47,1.49,107.3,59.5,72.9,27.6,164.6,64.21,42.71,42.71,85.48,unload
14,1,1,0,15,90,2474.5,189.3,23.29,1.59,6.2,7.99,2.18,121.18,62.3,77.8,60.0,182.0,63.67,42.71,42.71,85.18,unload
15,1,1,0,15,90,2474.2,204.0,23.06,1.51,6.13,9.4,2.37,134.44,60.8,82.2,62.0,197.1,64.9,42.71,42.71,85.57,unload
16,1,1,0,15,91,2501.2,216.9,23.28,1.65,7.16,9.56,2.69,145.78,61.6,85.8,62.2,206.2,66.04,43.54,43.54,85.58,unload
17,1,1,0,15,90,2476.2,232.0,23.17,1.65,7.55,13.16,2.85,156.8,57.2,93.4,60.0,222.2,65.38,43.54,43.54,85.28,unload
18,1,1,0,15,89,2448.2,247.5,22.66,1.55,8.48,16.08,2.59,169.02,60.9,103.7,41.9,236.9,66.18,43.75,43.75,84.69,unload
19,1,1,0,15,88,2418.9,263.8,23.12,1.59,9.03,19.2,2.7,181.22,59.3,110.4,45.1,258.6,65.31,43.96,43.96,83.96,unload
20,1,1,0,15,89,2449.3,275.3,23.34,1.68,8.37,18.63,3.06,193.55,57.0,107.8,48.3,269.6,66.06,44.38,44.38,84.38,unload
4,1,1,0,30,67,1843.5,63.8,24.75,3.33,2.87,1.84,0.2,5.65,55.0,60.0,3.0,61.1,43.57,28.96,28.96,63.7,unload
5,1,1,0,30,81,2233.0,66.5,24.85,3.12,2.26,2.6,0.4,7.78,51.1,60.0,3.0,68.4,53.41,35.21,35.21,77.37,unload
6,1,1,0,30,91,2506.8,72.4,25.3,3.61,3.7,2.05,1.44,11.48,60.0,60.0,62.1,72.9,59.52,39.58,39.58,85.82,unload
7,1,1,0,30,91,2501.1,88.0,24.51,3.05,4.02,2.28,1.53,27.0,61.1,60.0,60.0,85.0,60.03,39.79,39.79,87.19,unload
8,1,1,0,30,90,2473.3,103.9,24.36,2.99,3.58,2.85,1.5,43.08,59.4,59.7,61.6,99.3,59.24,39.79,39.79,86.63,unload
9,1,1,0,30,90,2481.0,118.3,24.79,3.27,3.69,3.94,1.11,56.06,53.2,60.0,17.7,115.4,61.39,40.42,40.42,86.07,unload
10,1,1,0,30,91,2502.0,131.2,24.57,3.11,3.61,4.72,0.89,68.88,53.2,60.0,17.2,128.2,62.11,41.46,41.46,86.15,unload
11,1,1,0,30,90,2474.1,147.0,24.83,3.19,4.51,5.26,1.86,82.06,55.4,61.1,60.7,141.8,62.06,41.46,41.46,85.43,unload
12,1,1,0,30,90,2475.3,162.6,24.89,3.56,4.85,6.36,1.21,96.66,58.9,66.6,23.8,152.4,62.26,41.46,41.46,86.22,unload
13,1,1,0,30,91,2506.8,174.9,25.2,3.56,5.84,6.64,1.62,107.17,62.7,72.0,27.1,165.9,63.69,42.29,42.29,86.04,unload
14,1,1,0,30,90,2472.0,189.3,24.7,3.06,6.34,7.77,2.23,119.68,62.4,79.9,60.0,177.3,64.95,42.71,42.71,85.24,unload
15,1,1,0,30,89,2448.8,206.5,25.01,3.41,6.71,9.94,1.64,134.5,60.0,88.3,32.6,202.6,64.17,42.71,42.71,84.8,unload
16,1,1,0,30,90,2471.5,218.8,24.72,3.31,6.51,11.45,1.94,145.7,53.8,91.3,36.2,208.3,64.99,43.12,43.12,85.29,unload
17,1,1,0,30,91,2499.6,229.1,24.57,3.18,7.22,12.72,2.84,153.47,59.5,94.1,59.8,222.3,65.73,43.96,43.96,85.22,unload
18,1,1,0,30,89,2450.6,247.7,25.02,3.48,8.32,15.53,2.65,167.66,60.6,100.6,43.0,237.9,65.47,43.75,43.75,84.58,unload
19,1,1,0,30,88,2424.7,262.1,24.9,3.26,8.52,19.55,3.39,177.11,62.7,108.7,61.9,253.0,66.21,43.96,43.96,84.15,unload
20,1,1,0,30,89,2440.7,276.0,24.47,3.37,8.79,21.42,2.86,189.86,57.0,113.1,47.1,265.3,67.35,44.38,44.38,84.51,unload
4,1,2,0,0,71,1950.4,59.4,21.76,0.0,3.04,3.46,1.11,1.61,58.2,59.6,59.1,60.0,45.67,30.63,30.63,33.98,loader
5,1,2,0,0,89,2444.7,59.8,21.71,0.0,3.66,2.71,1.13,2.17,59.8,60.0,60.0,60.0,56.99,38.12,38.12,41.62,loader
6,1,2,0,0,104,2860.7,61.0,21.59,0.0,2.95,3.6,0.68,3.74,58.6,60.0,15.0,60.0,66.65,45.0,45.0,49.97,loader
7,1,2,0,0,120,3300.2,62.2,21.93,0.0,3.42,4.12,1.11,3.16,60.8,66.5,60.0,60.0,78.19,51.88,51.88,56.82,loader
8,1,2,0,0,134,3686.8,64.4,21.34,0.0,3.95,6.18,0.97,3.45,62.5,63.5,59.9,60.0,86.84,57.71,57.71,63.41,loader
9,1,2,0,0,138,3797.7,71.7,21.51,0.0,3.85,13.12,1.28,3.35,63.9,72.1,60.0,60.0,89.33,59.79,59.79,65.67,loader
10,1,2,0,0,138,3797.3,81.2,21.5,0.0,3.71,22.44,1.09,4.03,63.0,81.8,60.0,62.2,89.97,60.21,60.21,65.09,loader
11,1,2,0,0,138,3797.4,91.7,21.43,0.0,4.25,32.36,0.89,4.16,60.0,93.6,21.0,60.0,89.76,60.0,60.0,65.61,loader
12,1,2,0,0,138,3797.1,100.6,21.55,0.0,3.67,40.94,1.32,4.54,58.2,102.3,59.3,60.0,89.96,60.62,60.62,66.1,loader
13,1,2,0,0,137,3774.0,111.2,21.82,0.0,4.88,50.85,1.37,3.83,60.0,110.4,62.7,60.0,89.74,60.42,60.42,64.96,loader
14,1,2,0,0,139,3817.5,119.1,21.39,0.0,4.58,58.68,1.51,4.49,59.4,117.9,60.0,60.4,90.08,61.25,61.25,65.44,loader
15,1,2,0,0,138,3795.2,130.4,21.55,0.0,5.51,68.84,1.32,4.56,58.0,125.5,34.0,60.0,90.07,60.62,60.62,65.42,loader
16,1,2,0,0,140,3846.4,137.2,21.11,0.0,5.15,76.26,1.41,4.75,59.4,133.8,35.2,60.5,89.64,61.88,61.88,66.54,loader
17,1,2,0,0,140,3840.4,146.3,21.51,0.0,6.21,82.78,2.05,5.36,62.4,143.6,60.0,60.0,89.74,62.29,62.29,66.24,loader
18,1,2,0,0,140,3858.0,156.1,21.35,0.0,5.96,92.69,2.09,5.69,62.9,149.6,60.0,60.0,89.9,62.29,62.29,65.57,loader
19,1,2,0,0,138,3788.0,167.5,21.5,0.0,6.97,102.35,2.41,5.84,63.6,164.2,62.7,61.8,89.7,61.67,61.67,64.71,loader
20,1,2,0,0,138,3794.8,176.3,21.59,0.0,7.93,109.84,2.72,5.7,64.1,174.9,62.6,62.4,89.51,62.08,62.08,65.3,loader
4,1,2,0,5,72,1983.3,58.2,21.74,0.52,2.4,3.24,0.29,2.21,56.8,61.7,2.9,60.0,45.92,31.04,31.04,34.0,loader
5,1,2,0,5,87,2393.5,60.9,22.23,0.6,3.15,2.8,0.36,3.92,61.8,60.0,3.8,60.0,56.58,37.5,37.5,41.24,loader
6,1,2,0,5,105,2881.6,61.2,22.07,0.56,2.09,3.78,1.05,3.66,50.4,60.0,60.0,61.3,67.31,44.79,44.79,49.64,loader
7,1,2,0,5,120,3296.1,62.3,22.0,0.53,3.16,4.48,1.02,3.05,60.3,60.0,61.9,60.0,78.03,51.67,51.67,57.18,loader
8,1,2,0,5,134,3685.8,64.5,21.84,0.5,2.87,6.69,0.54,4.02,56.9,68.2,11.7,60.0,86.8,57.71,57.71,63.44,loader
9,1,2,0,5,137,3765.1,72.4,21.94,0.51,3.54,12.93,0.94,4.39,61.9,74.2,60.0,61.0,89.23,59.17,59.17,65.35,loader
10,1,2,0,5,140,3850.9,80.3,21.94,0.47,3.65,21.08,1.17,4.0,60.0,80.5,60.0,60.0,89.81,60.62,60.62,66.19,loader
11,1,2,0,5,138,3794.0,91.4,21.94,0.56,4.22,31.72,0.98,4.09,63.1,90.4,21.0,61.2,89.59,60.0,60.0,65.32,loader
12,1,2,0,5,139,3825.7,100.0,21.96,0.53,4.51,40.21,1.06,3.91,60.3,98.8,24.8,60.0,89.53,60.83,60.83,65.8,loader
13,1,2,0,5,138,3793.2,111.2,21.9,0.58,4.46,50.49,1.95,3.89,61.5,112.5,60.5,60.0,89.89,60.42,60.42,64.76,loader
14,1,2,0,5,139,3818.3,119.4,22.16,0.53,4.35,58.5,1.31,4.59,60.0,118.3,30.3,63.7,89.51,61.04,61.04,66.5,loader
15,1,2,0,5,137,3768.8,130.4,22.45,0.55,4.92,67.49,2.27,4.76,61.5,124.9,62.0,60.0,89.85,60.83,60.83,65.13,loader
16,1,2,0,5,138,3796.4,139.6,21.96,0.48,4.79,76.76,1.48,5.97,59.5,135.8,36.3,60.0,89.67,61.25,61.25,66.09,loader
17,1,2,0,5,138,3796.8,148.9,22.03,0.46,5.96,85.61,1.88,4.86,60.0,144.3,39.9,60.0,89.66,61.46,61.46,65.55,loader
18,1,2,0,5,138,3789.8,158.2,21.89,0.57,5.77,95.11,1.65,5.25,58.9,151.0,41.9,60.0,89.63,61.67,61.67,64.94,loader
19,1,2,0,5,139,3819.8,165.5,22.33,0.53,6.96,99.52,2.04,6.08,62.7,158.9,44.2,62.3,89.51,62.29,62.29,66.09,loader
20,1,2,0,5,136,3742.6,178.9,22.02,0.58,7.67,112.6,2.27,5.64,60.0,173.0,48.7,61.9,90.1,61.25,61.25,65.08,loader
4,1,2,0,15,70,1923.4,60.9,22.96,1.63,2.33,4.16,0.19,2.79,59.9,60.4,3.0,60.0,44.81,30.21,30.21,32.92,loader
5,1,2,0,15,87,2392.5,61.4,23.06,1.61,2.45,3.28,0.33,3.7,60.0,60.0,2.9,60.0,56.61,37.5,37.5,40.84,loader
6,1,2,0,15,102,2803.8,62.8,23.08,1.57,2.66,3.35,0.41,4.8,61.8,60.0,5.1,61.9,65.89,44.17,44.17,48.12,loader
7,1,2,0,15,118,3248.7,63.6,23.27,1.55,3.4,3.76,1.04,3.69,64.1,59.6,61.9,60.0,76.87,51.04,51.04,55.46,loader
8,1,2,0,15,128,3516.2,67.5,23.33,1.65,3.34,6.97,0.74,4.73,60.0,68.8,15.0,60.0,83.19,55.83,55.83,60.48,loader
9,1,2,0,15,137,3765.8,72.5,23.45,1.8,2.76,11.44,1.24,5.08,57.7,68.7,59.5,65.7,89.41,59.38,59.38,64.34,loader
10,1,2,0,15,138,3798.5,81.5,23.05,1.52,4.12,20.36,1.37,4.07,59.8,79.3,62.3,60.0,90.01,60.0,60.0,65.04,loader
11,1,2,0,15,137,3768.9,92.7,23.11,1.58,4.44,31.47,1.38,3.79,59.9,91.6,61.9,60.0,89.92,59.38,59.38,64.36,loader
12,1,2,0,15,137,3771.7,101.7,22.88,1.5,4.76,40.28,1.03,4.21,64.3,99.6,24.4,60.0,89.85,60.0,60.0,64.73,loader
13,1,2,0,15,139,3822.8,110.5,23.18,1.57,4.28,48.61,1.23,4.78,58.6,107.6,27.2,60.0,89.51,60.62,60.62,65.16,loader
14,1,2,0,15,138,3797.6,120.0,23.26,1.63,4.97,57.15,1.33,4.77,60.0,116.1,31.0,60.0,90.01,60.83,60.83,65.7,loader
15,1,2,0,15,139,3821.4,129.1,22.85,1.61,5.5,66.42,1.47,4.48,62.1,127.4,33.6,65.2,89.53,61.25,61.25,65.27,loader
16,1,2,0,15,138,3796.4,139.4,23.25,1.74,5.41,75.39,1.53,5.37,58.9,134.9,36.3,60.0,89.52,61.25,61.25,65.06,loader
17,1,2,0,15,139,3822.4,147.4,23.3,1.78,5.98,82.56,2.11,5.08,62.9,143.1,60.0,60.0,89.51,61.88,61.88,65.37,loader
18,1,2,0,15,139,3819.5,157.2,23.31,1.75,6.95,89.98,2.09,6.34,63.0,158.5,42.1,61.8,89.77,61.88,61.88,65.82,loader
19,1,2,0,15,140,3848.4,165.9,23.35,1.64,7.35,99.02,2.53,5.22,60.4,160.6,63.0,60.0,89.9,62.5,62.5,65.65,loader
20,1,2,0,15,138,3793.6,177.3,22.76,1.6,7.13,110.27,2.64,5.93,61.9,174.5,61.5,60.0,89.92,61.88,61.88,65.23,loader
4,1,2,0,30,69,1897.9,63.0,24.6,3.17,2.94,2.46,0.39,4.06,57.5,60.0,2.7,60.0,43.88,28.96,28.96,32.43,loader
5,1,2,0,30,85,2338.5,63.0,24.59,3.11,3.29,2.22,0.9,3.57,60.0,24.2,59.4,61.3,54.42,36.46,36.46,40.21,loader
6,1,2,0,30,101,2776.0,63.8,24.48,2.87,2.53,3.64,0.44,4.28,53.8,60.0,5.7,60.0,65.54,43.75,43.75,47.12,loader
7,1,2,0,30,114,3133.9,66.1,24.96,3.46,2.95,4.06,1.13,4.4,54.6,60.0,59.5,62.6,74.73,49.58,49.58,54.47,loader
8,1,2,0,30,128,3520.9,67.6,24.75,3.15,4.5,5.04,1.22,3.64,61.7,64.0,60.0,64.9,83.72,55.62,55.62,60.72,loader
9,1,2,0,30,138,3787.4,71.7,25.0,3.45,3.63,8.25,1.85,4.56,60.9,72.2,60.0,60.3,89.1,59.79,59.79,65.02,loader
10,1,2,0,30,138,3796.3,82.1,24.48,2.99,3.87,20.21,0.74,4.23,59.9,79.4,18.0,60.0,89.9,59.58,59.58,64.77,loader
11,1,2,0,30,139,3817.8,90.8,24.91,3.15,3.57,28.07,1.38,4.55,57.3,87.1,59.3,63.1,89.99,60.42,60.42,64.86,loader
12,1,2,0,30,137,3762.4,101.8,24.92,3.29,3.72,37.91,1.41,5.23,60.0,97.5,61.7,60.0,89.94,60.21,60.21,65.24,loader
13,1,2,0,30,138,3792.8,110.2,24.66,3.2,4.88,45.72,1.79,4.71,62.5,103.8,59.1,60.3,89.66,60.83,60.83,65.29,loader
14,1,2,0,30,138,3792.2,120.4,24.95,3.28,4.95,55.61,1.77,4.67,58.3,114.6,60.0,60.9,89.46,60.62,60.62,64.72,loader
15,1,2,0,30,139,3823.8,129.0,24.94,3.37,5.35,63.82,1.36,5.13,59.8,127.3,33.6,62.5,90.01,61.46,61.46,65.44,loader
16,1,2,0,30,135,3712.4,142.2,24.93,3.55,5.4,76.07,2.01,5.1,61.7,133.6,61.9,60.0,89.6,60.21,60.21,64.42,loader
17,1,2,0,30,138,3793.4,148.4,24.5,3.14,5.19,83.02,1.71,5.44,52.6,141.9,39.0,63.3,89.88,61.67,61.67,65.84,loader
18,1,2,0,30,138,3792.3,157.9,24.56,3.22,5.92,91.16,1.77,5.97,55.7,150.7,41.6,61.3,89.91,61.88,61.88,65.92,loader
19,1,2,0,30,137,3763.5,168.3,24.99,3.43,7.03,99.07,2.45,6.31,60.0,160.1,62.8,60.7,89.74,61.67,61.67,65.0,loader
20,1,2,0,30,136,3738.7,180.1,24.88,3.36,7.31,111.24,2.4,5.57,59.8,173.5,47.9,60.9,89.6,61.04,61.04,64.12,loader
4,1,3,0,0,72,1980.2,58.2,21.36,0.0,4.15,1.47,0.93,1.9,61.3,19.5,60.0,60.0,46.68,31.04,31.04,22.66,loader
5,1,3,0,0,89,2446.4,59.0,21.31,0.0,2.15,3.51,0.38,3.34,54.3,62.2,2.7,60.0,57.72,38.54,38.54,27.57,loader
6,1,3,0,0,104,2855.4,61.2,21.9,0.0,2.83,3.94,0.55,3.33,54.0,60.0,15.0,60.0,67.95,45.0,45.0,33.07,loader
7,1,3,0,0,120,3302.9,62.3,21.5,0.0,2.6,4.92,0.49,4.36,62.0,65.0,8.7,60.0,76.84,51.67,51.67,37.89,loader
8,1,3,0,0,133,3659.1,64.6,21.52,0.0,3.44,6.73,1.09,3.14,62.4,66.5,59.8,60.0,86.49,57.5,57.5,42.32,loader
9,1,3,0,0,141,3875.1,70.1,21.43,0.0,3.38,12.26,1.31,3.37,61.6,71.4,60.0,60.0,89.92,60.62,60.62,44.29,loader
10,1,3,0,0,139,3821.1,81.0,21.65,0.0,4.25,22.32,1.23,3.03,58.9,81.5,61.3,60.0,89.41,60.21,60.21,43.93,loader
11,1,3,0,0,138,3793.2,91.2,21.32,0.0,4.39,32.82,0.82,3.29,60.0,91.0,20.7,60.0,89.47,60.21,60.21,43.82,loader
12,1,3,0,0,139,3816.8,100.2,21.35,0.0,5.04,40.7,1.52,3.1,64.3,101.0,60.0,60.0,89.85,60.83,60.83,43.67,loader
13,1,3,0,0,137,3769.0,111.1,21.57,0.0,4.41,51.89,1.26,3.4,60.3,108.7,26.3,60.0,89.92,60.42,60.42,43.38,loader
14,1,3,0,0,138,3795.4,120.4,21.38,0.0,4.3,61.4,0.98,3.85,60.7,118.0,29.2,60.0,89.62,60.83,60.83,43.34,loader
15,1,3,0,0,139,3822.1,129.3,21.28,0.0,5.49,69.37,1.28,3.45,60.0,128.6,32.6,60.0,89.51,61.04,61.04,43.59,loader
16,1,3,0,0,138,3799.3,139.6,21.61,0.0,5.7,78.55,1.91,3.12,60.9,134.9,60.0,60.0,89.81,61.04,61.04,43.86,loader
17,1,3,0,0,139,3822.4,147.5,21.5,0.0,5.47,86.24,1.84,4.02,58.3,148.7,39.8,60.0,89.68,61.67,61.67,43.6,loader
18,1,3,0,0,138,3792.3,158.2,21.74,0.0,6.41,96.27,2.14,3.12,61.2,154.5,59.2,60.0,89.81,61.67,61.67,43.54,loader
19,1,3,0,0,138,3794.9,167.3,21.7,0.0,6.78,104.65,2.32,3.27,60.1,162.5,61.2,60.0,89.48,61.67,61.67,43.51,loader
20,1,3,0,0,139,3819.0,175.4,21.67,0.0,6.75,112.41,2.26,3.82,60.0,178.0,48.6,60.0,89.47,62.29,62.29,43.74,loader
4,1,3,0,5,72,1977.7,59.0,22.02,0.54,2.03,3.9,0.22,2.45,49.4,63.2,2.5,60.0,46.19,30.63,30.63,22.31,loader
5,1,3,0,5,88,2418.1,60.6,22.05,0.52,2.33,2.79,1.19,3.55,55.7,60.0,60.0,60.0,57.01,37.71,37.71,27.78,loader
6,1,3,0,5,103,2824.8,62.0,22.19,0.56,3.58,3.69,1.01,2.97,58.3,60.0,60.0,60.0,66.86,44.58,44.58,32.59,loader
7,1,3,0,5,117,3215.1,63.6,22.32,0.56,3.14,4.44,1.54,3.6,60.6,65.8,60.0,60.0,76.74,51.04,51.04,37.39,loader
8,1,3,0,5,132,3631.0,65.5,21.88,0.55,3.64,6.49,1.27,3.56,60.8,63.0,60.0,60.0,86.69,56.88,56.88,41.85,loader
9,1,3,0,5,138,3795.6,71.6,21.92,0.56,3.77,13.08,1.17,3.24,58.9,72.2,60.1,60.0,89.46,59.79,59.79,43.28,loader
10,1,3,0,5,138,3797.4,81.7,21.92,0.51,3.85,23.26,0.75,3.36,60.0,82.7,17.2,60.0,89.69,59.79,59.79,43.59,loader
11,1,3,0,5,139,3826.0,90.5,22.16,0.54,4.0,31.53,1.47,2.98,58.1,91.2,60.0,60.0,89.61,60.62,60.62,43.55,loader
12,1,3,0,5,138,3790.6,101.6,22.17,0.55,5.29,41.27,0.9,3.42,63.6,98.9,24.3,60.0,89.91,60.21,60.21,43.44,loader
13,1,3,0,5,139,3825.9,109.3,22.37,0.5,4.96,48.64,1.23,3.86,62.5,106.4,27.8,60.0,89.97,61.25,61.25,43.59,loader
14,1,3,0,5,139,3828.3,119.8,22.19,0.52,4.97,59.71,1.22,3.41,60.0,118.7,30.0,60.0,89.77,61.04,61.04,43.29,loader
15,1,3,0,5,138,3789.8,129.7,22.17,0.52,4.68,69.38,1.41,3.56,53.0,125.5,32.5,60.0,89.65,61.04,61.04,43.69,loader
16,1,3,0,5,138,3794.5,138.5,22.23,0.56,5.62,76.94,1.44,3.84,62.3,137.0,35.1,60.0,89.9,61.46,61.46,43.37,loader
17,1,3,0,5,139,3816.8,147.6,22.27,0.51,5.75,85.44,2.15,3.62,60.0,145.7,60.8,60.0,89.56,61.88,61.88,43.49,loader
18,1,3,0,5,140,3849.1,156.0,21.96,0.57,5.81,93.68,2.16,3.99,59.2,153.4,60.0,60.0,89.69,62.29,62.29,44.06,loader
19,1,3,0,5,138,3790.2,167.6,22.29,0.56,6.87,103.19,2.65,4.07,63.2,161.5,62.8,60.0,89.51,61.67,61.67,43.33,loader
20,1,3,0,5,138,3797.6,176.1,21.93,0.52,6.41,112.31,2.67,4.15,58.3,171.3,60.0,60.0,89.8,62.29,62.29,44.22,loader
